variable,question_label,format_name,raw_value,value_label
Q87,Grades in school,$H87S,2,Mostly B's
Q87,Grades in school,$H87S,3,Mostly C's
Q87,Grades in school,$H87S,4,Mostly D's
Q87,Grades in school,$H87S,5,Mostly F's
Q87,Grades in school,$H87S,6,None of these grades
Q87,Grades in school,$H87S,7,Not sure
Q88,Ever sexual abuse by adult or older person ACEs,$H88XX, ,Missing
Q88,Ever sexual abuse by adult or older person ACEs,$H88XX,1,Yes
Q88,Ever sexual abuse by adult or older person ACEs,$H88XX,2,No
Q89,Ever parental emotional abuse ACEs,$H89XX, ,Missing
Q89,Ever parental emotional abuse ACEs,$H89XX,1,Never
Q89,Ever parental emotional abuse ACEs,$H89XX,2,Rarely
Q89,Ever parental emotional abuse ACEs,$H89XX,3,Sometimes
Q89,Ever parental emotional abuse ACEs,$H89XX,4,Most of the time
Q89,Ever parental emotional abuse ACEs,$H89XX,5,Always
Q90,Ever parental physical abuse ACEs,$H90XX, ,Missing
Q90,Ever parental physical abuse ACEs,$H90XX,1,Never
Q90,Ever parental physical abuse ACEs,$H90XX,2,Rarely
Q90,Ever parental physical abuse ACEs,$H90XX,3,Sometimes
Q90,Ever parental physical abuse ACEs,$H90XX,4,Most of the time
Q90,Ever parental physical abuse ACEs,$H90XX,5,Always
Q91,Adults in home intimate partner violence ACEs,$H91XX, ,Missing
Q91,Adults in home intimate partner violence ACEs,$H91XX,1,Never
Q91,Adults in home intimate partner violence ACEs,$H91XX,2,Rarely
Q91,Adults in home intimate partner violence ACEs,$H91XX,3,Sometimes
Q91,Adults in home intimate partner violence ACEs,$H91XX,4,Most of the time
Q91,Adults in home intimate partner violence ACEs,$H91XX,5,Always
Q92,Current Rx Pain med w/out Rx,$H92XX, ,Missing
Q92,Current Rx Pain med w/out Rx,$H92XX,1,0 times
Q92,Current Rx Pain med w/out Rx,$H92XX,2,1 or 2 times
Q92,Current Rx Pain med w/out Rx,$H92XX,3,3 to 9 times
Q92,Current Rx Pain med w/out Rx,$H92XX,4,10 to 19 times
Q92,Current Rx Pain med w/out Rx,$H92XX,5,20 to 39 times
Q92,Current Rx Pain med w/out Rx,$H92XX,6,40 or more times
Q93,Ever used hallucinogenic drugs,$H93XX, ,Missing
Q93,Ever used hallucinogenic drugs,$H93XX,1,0 times
Q93,Ever used hallucinogenic drugs,$H93XX,2,1 or 2 times
Q93,Ever used hallucinogenic drugs,$H93XX,3,3 to 9 times
Q93,Ever used hallucinogenic drugs,$H93XX,4,10 to 19 times
Q93,Ever used hallucinogenic drugs,$H93XX,5,20 to 39 times
Q93,Ever used hallucinogenic drugs,$H93XX,6,40 or more times
Q94,If verbally asked for consent last sexual contact,$H94XX, ,Missing
Q94,If verbally asked for consent last sexual contact,$H94XX,1,Never had sexual contact
Q94,If verbally asked for consent last sexual contact,$H94XX,2,Yes
Q94,If verbally asked for consent last sexual contact,$H94XX,3,No
Q95,Sports drinks,$H95XX, ,Missing
Q95,Sports drinks,$H95XX,1,I did not drink
Q95,Sports drinks,$H95XX,2,1 to 3 times
Q95,Sports drinks,$H95XX,3,4 to 6 times
Q95,Sports drinks,$H95XX,4,1 time per day
Q95,Sports drinks,$H95XX,5,2 times per day
Q95,Sports drinks,$H95XX,6,3 times per day
Q95,Sports drinks,$H95XX,7,4 or more times per day
Q96,Plain water,$H96XX, ,Missing
Q96,Plain water,$H96XX,1,Did not drink water
Q96,Plain water,$H96XX,2,1 to 3 times
Q96,Plain water,$H96XX,3,4 to 6 times
Q96,Plain water,$H96XX,4,1 time per day
Q96,Plain water,$H96XX,5,2 times per day
Q96,Plain water,$H96XX,6,3 times per day
Q96,Plain water,$H96XX,7,4 or more times per day
Q97,Muscle strengthening,$H97XX, ,Missing
Q97,Muscle strengthening,$H97XX,1,0 days
Q97,Muscle strengthening,$H97XX,2,1 day
Q97,Muscle strengthening,$H97XX,3,2 days
Q97,Muscle strengthening,$H97XX,4,3 days
Q97,Muscle strengthening,$H97XX,5,4 days
Q97,Muscle strengthening,$H97XX,6,5 days
Q97,Muscle strengthening,$H97XX,7,6 days
Q97,Muscle strengthening,$H97XX,8,7 days
Q98,Sunburn,$H98XX, ,Missing
Q98,Sunburn,$H98XX,1,0 times
Q98,Sunburn,$H98XX,2,1 time
Q98,Sunburn,$H98XX,3,2 times
Q98,Sunburn,$H98XX,4,3 times
Q98,Sunburn,$H98XX,5,4 times
Q98,Sunburn,$H98XX,6,5 or more times
Q99,How often household adult met basic needs ACEs,$H99XX, ,Missing
Q99,How often household adult met basic needs ACEs,$H99XX,1,Never
Q99,How often household adult met basic needs ACEs,$H99XX,2,Rarely
Q99,How often household adult met basic needs ACEs,$H99XX,3,Sometimes
Q99,How often household adult met basic needs ACEs,$H99XX,4,Most of the time
Q99,How often household adult met basic needs ACEs,$H99XX,5,Always
Q100,Ever lived w/parent/guardian w/substance abuse ACE,$H100XX, ,Missing
Q100,Ever lived w/parent/guardian w/substance abuse ACE,$H100XX,1,Yes
Q100,Ever lived w/parent/guardian w/substance abuse ACE,$H100XX,2,No
Q101,Ever lived with parent/guardian w mental illness A,$H101XX, ,Missing
Q101,Ever lived with parent/guardian w mental illness A,$H101XX,1,Yes
Q101,Ever lived with parent/guardian w mental illness A,$H101XX,2,No
Q102,Ever incarcerated parent/guardian ACEs,$H102XX, ,Missing
Q102,Ever incarcerated parent/guardian ACEs,$H102XX,1,Yes
Q102,Ever incarcerated parent/guardian ACEs,$H102XX,2,No
Q103,Feel close to people at their school,$H103XX, ,Missing
Q103,Feel close to people at their school,$H103XX,1,Strongly agree
Q103,Feel close to people at their school,$H103XX,2,Agree
Q103,Feel close to people at their school,$H103XX,3,Not sure
Q103,Feel close to people at their school,$H103XX,4,Disagree
Q103,Feel close to people at their school,$H103XX,5,Strongly disagree
Q104,Parental monitoring,$H104XX, ,Missing
Q104,Parental monitoring,$H104XX,1,Never
Q104,Parental monitoring,$H104XX,2,Rarely
Q104,Parental monitoring,$H104XX,3,Sometimes
Q104,Parental monitoring,$H104XX,4,Most of the time
Q104,Parental monitoring,$H104XX,5,Always
Q105,Unfairly disciplined at school,$H105XX, ,Missing
Q105,Unfairly disciplined at school,$H105XX,1,Yes
Q105,Unfairly disciplined at school,$H105XX,2,No
Q106,Difficulty concentrating,$H106XX, ,Missing
Q106,Difficulty concentrating,$H106XX,1,Yes
Q106,Difficulty concentrating,$H106XX,2,No
Q107,How well speak English,$H107XX, ,Missing
Q107,How well speak English,$H107XX,1,Very well
Q107,How well speak English,$H107XX,2,Well
Q107,How well speak English,$H107XX,3,Not well
Q107,How well speak English,$H107XX,4,Not at all
RACEETH,Race/Ethnicity,$HRCE, ,Missing
RACEETH,Race/Ethnicity,$HRCE,1,Am Indian/Alaska Native
RACEETH,Race/Ethnicity,$HRCE,2,Asian
RACEETH,Race/Ethnicity,$HRCE,3,Black or African American
RACEETH,Race/Ethnicity,$HRCE,4,Native Hawaiian/Other PI
RACEETH,Race/Ethnicity,$HRCE,5,White
RACEETH,Race/Ethnicity,$HRCE,6,Hispanic/Latino
RACEETH,Race/Ethnicity,$HRCE,7,Multiple - Hispanic
RACEETH,Race/Ethnicity,$HRCE,8,Multiple - Non-Hispanic
